"","RNA1.1.t0.rep2","RNA1.1.t5.rep2","RNA1.1.t10.rep2","RNA1.1.t20.rep2"
"YPL026C",66,47,18,3
"YPL023C",172,52,10,11
"YPL020C",160,86,21,22
"YPL019C",202,83,25,24
"YPL015C",88,60,40,17
"YPL013C",322,110,25,26
"YPL011C",111,52,22,24
"YPL009C",605,416,196,150
"YPL007C",60,40,9,5
"YPL004C",1032,919,349,237
"YPR003C",43,24,11,10
"YPR004C",197,134,53,32
"YPR005C",22,27,16,9
"YPR006C",63,54,17,11
"YPR010C",2141,1174,334,135
"YPR010C-A",220,187,70,29
"YPR011C",142,81,35,21
"YPR013C",74,59,25,17
"YPR016C",187,105,28,15
"YPR017C",273,80,28,22
"YPR022C",170,64,22,24
"YPR023C",275,147,25,23
"YPR025C",222,123,34,31
"YPR029C",409,229,72,82
"YPR033C",766,617,211,66
"YPR037C",89,49,21,16
"YPR042C",39,47,26,23
"YPR045C",67,42,13,15
"YPR049C",50,37,12,21
"YPR052C/YPR053C",2353,1686,359,267
"YPR060C",305,218,60,15
"YPR063C",792,692,319,150
"YPR068C",86,61,20,27
"YPR069C",1012,863,400,275
"YPR073C",174,178,62,34
"YPR074C",1471,877,354,136
"YPR075C",68,60,28,16
"YPR081C",54,43,14,6
"YPR082C",93,46,25,6
"YPR085C",66,39,7,6
"YPR088C",597,471,190,105
"YPR091C",175,119,24,29
"YPR093C",125,37,28,18
"YPR095C",62,30,20,15
"YPR098C",214,150,64,49
"YPR102C",8545,7210,2381,1546
"YPR105C",70,66,36,41
"YPR107C",62,19,11,5
"YPR110C",831,633,196,64
"YPR112C",510,325,136,133
"YPR120C",69,23,6,5
"YPR128C",301,219,40,7
"YPR131C",254,139,34,11
"YPR133C",258,168,57,23
"YPR137C-B/YPR137C-A",1604,1365,660,676
"YPR138C",224,89,36,31
"YPR139C",96,51,17,11
"YPR141C",50,26,8,9
"YPR144C",424,225,71,42
"YPR146C/YPR147C",176,87,30,13
"YPR148C",292,220,56,18
"YPR151C",65,46,16,27
"YPR155C",119,18,14,11
"YPR156C",230,110,93,60
"YPR158C-D/YPR158C-C",864,788,444,407
"YPR161C",228,74,35,15
"YPR162C",86,66,31,25
"YPR163C",580,439,125,30
"YPR166C",206,88,15,19
"YPR170C",86,44,42,28
"YPR173C",221,144,93,59
"YPR176C",77,40,6,7
"YPR179C",65,23,10,6
"YPR181C",594,342,115,50
"YPR186C",58,15,6,15
"YPR188C",217,124,42,23
"YPR190C",126,113,25,24
"YPR193C",8,12,7,7
"YPR199C",117,39,21,9
"YPL274W",265,93,41,38
"YPL273W",1769,1432,408,173
"YPL271W",628,473,118,41
"YPL270W",183,141,28,34
"YPL269W",76,67,34,43
"YPL268W",82,44,9,12
"YPL267W",106,41,14,14
"YPL266W",437,227,32,14
"YPL265W",230,124,89,63
"YPL262W",697,590,285,229
"YPL260W",268,271,137,155
"YPL257W-B/YPL257W-A",1357,1022,530,537
"YPL255W",140,96,29,49
"YPL254W",118,29,12,2
"YPL245W",288,208,58,26
"YPL243W",383,151,34,12
"YPL239W",491,376,163,171
"YPL237W",6110,4533,1545,769
"YPL235W",1202,859,193,66
"YPL232W",425,275,79,60
"YPL231W",2347,1835,853,573
"YPL230W",8,16,31,21
"YPL229W",55,27,19,20
"YPL228W",48,36,13,23
"YPL226W",2251,913,262,175
"YPL225W",362,407,134,117
"YPL222W",15,75,104,104
"YPL221W",179,83,61,49
"YPL220W",7782,6362,3249,2287
"YPL219W",26,64,44,36
"YPL218W",945,751,322,150
"YPL216W",80,34,10,5
"YPL215W",170,62,22,8
"YPL211W",1187,423,101,27
"YPL208W",85,81,17,17
"YPL207W",1141,622,146,58
"YPL204W",180,112,34,22
"YPL203W",105,77,36,30
"YPL198W",3792,2806,925,331
"YPL196W",149,107,36,23
"YPL195W",565,418,94,72
"YPL194W",72,32,12,8
"YPL193W",124,33,20,18
"YPL183W-A",58,22,9,3
"YPL181W",174,64,17,23
"YPL180W",59,32,22,13
"YPL179W",257,151,83,103
"YPL178W",145,111,26,38
"YPL175W",137,17,5,7
"YPL173W",150,50,18,10
"YPL170W",96,69,25,21
"YPL160W",1758,1133,516,155
"YPL157W",132,22,6,4
"YPL152W",36,24,8,4
"YPL150W",88,45,19,15
"YPL149W",74,30,10,9
"YPL147W",29,16,23,16
"YPL144W",165,79,9,14
"YPL143W",7081,5981,3357,2355
"YPL132W",78,40,10,29
"YPL131W",26033,19403,9193,4147
"YPL130W",38,429,172,208
"YPL129W",321,421,178,143
"YPL126W",182,68,20,14
"YPL125W",209,108,35,26
"YPL120W",83,41,9,12
"YPL118W",93,44,14,12
"YPL116W",87,61,29,25
"YPL114W",54,25,25,7
"YPL111W",496,265,97,38
"YPL108W",151,65,10,3
"YPL107W",67,16,8,3
"YPL104W",54,19,11,6
"YPL101W",170,76,12,4
"YPL100W",90,30,5,7
"YPL097W",69,47,29,13
"YPL096W",96,40,8,6
"YPL093W",319,90,32,22
"YPL091W",352,274,109,73
"YPL088W",89,48,29,27
"YPL087W",193,152,49,35
"YPL085W",209,132,54,48
"YPL084W",118,96,24,25
"YPL081W",1516,765,311,163
"YPL079W",7613,6577,2994,2317
"YPL076W",58,19,9,3
"YPL075W",209,248,91,93
"YPL074W",51,25,13,8
"YPL072W",85,40,21,13
"YPL070W",51,40,6,7
"YPL066W",166,134,57,69
"YPL065W",49,57,10,13
"YPL063W",951,634,244,102
"YPL061W",1419,1097,234,133
"YPL059W",245,175,100,33
"YPL052W",114,39,12,5
"YPL048W",1888,1622,771,489
"YPL045W",89,48,16,9
"YPL043W",678,172,78,33
"YPL038W",142,81,18,40
"YPL030W",132,55,9,3
"YPL029W",67,32,18,11
"YPL028W",311,274,110,49
"YPL024W",65,43,25,13
"YPL022W",93,47,17,28
"YPL016W",114,90,42,24
"YPL014W",59,41,23,15
"YPL012W",649,229,43,51
"YPL010W",349,229,99,43
"YPL008W",51,42,27,18
"YPL006W",188,108,69,24
"YPL005W",46,40,25,16
"YPL003W",97,66,57,32
"YPL001W",118,51,23,17
"YPR002W",68,56,16,13
"YPR008W",254,164,56,77
"YPR009W",145,71,24,18
"YPR018W",107,38,17,16
"YPR019W",152,70,24,10
"YPR020W",232,91,16,10
"YPR026W",20,24,13,7
"YPR028W",2674,2517,1165,632
"YPR030W",17,30,15,16
"YPR031W",74,42,14,17
"YPR032W",65,29,13,11
"YPR034W",260,119,35,26
"YPR035W",786,326,79,76
"YPR036W",1754,1562,725,482
"YPR036W-A",1415,2309,992,2430
"YPR038W/YPR039W/YPR040W",159,277,359,118
"YPR041W",791,554,137,60
"YPR043W",15300,13720,5740,4732
"YPR047W",18,21,24,7
"YPR048W",151,79,25,12
"YPR051W",406,206,34,23
"YPR055W",93,42,11,15
"YPR056W",115,38,7,8
"YPR057W",108,52,17,28
"YPR058W",257,229,94,69
"YPR062W",555,487,204,127
"YPR065W",90,97,52,62
"YPR066W",22,56,31,25
"YPR067W",130,100,50,32
"YPR070W",52,16,16,9
"YPR072W",98,68,27,16
"YPR079W",105,87,17,26
"YPR080W",6841,6021,1908,1064
"YPR084W",75,49,10,12
"YPR086W",75,62,28,9
"YPR087W",85,44,13,10
"YPR089W",127,68,20,19
"YPR094W",113,46,13,13
"YPR097W",291,131,36,28
"YPR100W",175,69,35,26
"YPR103W",646,477,137,75
"YPR106W",135,65,26,5
"YPR108W",622,408,188,108
"YPR108W-A",392,843,521,190
"YPR109W",109,36,11,16
"YPR111W",68,18,5,4
"YPR113W",475,373,117,29
"YPR114W",356,233,111,60
"YPR115W",79,59,29,34
"YPR117W",89,72,56,34
"YPR118W",408,276,101,40
"YPR122W",325,102,52,39
"YPR124W",1084,497,166,215
"YPR125W",214,134,51,60
"YPR127W",111,93,62,64
"YPR129W",268,283,70,30
"YPR132W",8287,6743,3334,1966
"YPR133W-A",2256,1335,312,77
"YPR135W",171,60,28,12
"YPR137W",263,110,38,22
"YPR140W",202,23,20,13
"YPR143W",316,81,9,17
"YPR145W",1000,544,116,50
"YPR149W",50,163,117,102
"YPR150W",32,157,90,69
"YPR154W",95,91,77,58
"YPR157W",71,65,31,30
"YPR158W",123,167,119,103
"YPR158W-B/YPR158W-A",884,713,391,408
"YPR159W",232,119,47,19
"YPR160W/YPR160W-A",37,32,24,29
"YPR165W",903,813,265,130
"YPR169W",1084,677,350,276
"YPR170W-B/YPR169W-A/YPR170W-A",511,514,158,85
"YPR171W",138,60,26,17
"YPR172W",75,66,21,17
"YPR175W",66,62,18,11
"YPR178W",128,60,10,13
"YPR180W",210,134,36,24
"YPR182W",570,327,126,56
"YPR183W",699,632,278,152
"YPR184W",124,103,52,71
"YPR187W",628,323,68,44
"YPR189W",332,114,23,24
"YPR191W",769,449,90,80
"YPR198W",102,62,27,13
"YPR204W",346,176,78,54
